Date;Open;High;Low;Close;Adj Close;Volume
26/6/2019;29.980.000;30.480.000;29.780.001;29.920.000;29.920.000;65064200
27/6/2019;30.410.000;30.959.999;30.209.999;30.740.000;30.740.000;55623300
28/6/2019;31.080.000;31.110.001;30.330.000;30.370.001;30.370.001;50090900
1/7/2019;31.790.001;32.040.001;30.870.001;31.200.001;31.200.001;60525500
2/7/2019;30.959.999;31.260.000;30.730.000;31.240.000;31.240.000;37721700
3/7/2019;31.129.999;31.330.000;30.740.000;31.190.001;31.190.001;23462000
5/7/2019;30.879.999;31.559.999;30.750.000;31.500.000;31.500.000;34011900
8/7/2019;31.799.999;32.150.002;31.260.000;32.040.001;32.040.001;49689400
9/7/2019;31.760.000;33.180.000;30.100.000;33.150.002;33.150.002;61419800
10/7/2019;33.560.001;34.029.999;33.360.001;33.790.001;33.790.001;60388400
11/7/2019;33.910.000;34.000.000;32.759.998;33.060.001;33.060.001;63081800
12/7/2019;32.759.998;33.389.999;32.590.000;33.209.999;33.209.999;51509700
15/7/2019;33.340.000;34.549.999;33.270.000;34.389.999;34.389.999;65565200
16/7/2019;34.299.999;34.860.001;33.799.999;33.849.998;33.849.998;66912700
17/7/2019;34.009.998;34.299.999;33.490.002;33.599.998;33.599.998;42557900
18/7/2019;33.029.999;33.459.999;32.419.998;33.000.000;33.000.000;58610900
19/7/2019;33.080.002;33.349.998;32.450.001;32.509.998;32.509.998;44617700
22/7/2019;32.799.999;33.310.001;32.740.002;32.849.998;32.849.998;37777300
23/7/2019;33.169.998;33.500.000;32.930.000;33.490.002;33.490.002;38532500
24/7/2019;33.639.999;34.360.001;33.450.001;34.110.001;34.110.001;41952300
25/7/2019;34.049.999;34.250.000;33.619.999;33.669.998;33.669.998;36705600
26/7/2019;34.230.000;34.770.000;33.869.999;34.020.000;34.020.000;43502800
29/7/2019;34.139.999;34.180.000;32.980.000;33.480.000;33.480.000;45922000
30/7/2019;33.209.999;33.939.999;32.939.999;33.869.999;33.869.999;72198900
31/7/2019;32.080.002;32.299.999;30.299.999;30.450.001;30.450.001;119190000
1/8/2019;30.500.000;31.480.000;29.100.000;29.860.001;29.860.001;80878900
2/8/2019;29.480.000;29.730.000;28.940.001;29.440.001;29.440.001;60410900
5/8/2019;28.260.000;28.490.000;27.650.000;27.990.000;27.990.000;74333200
6/8/2019;28.860.001;29.049.999;28.200.001;28.860.001;28.860.001;60578400
7/8/2019;28.469.999;29.280.001;28.370.001;29.190.001;29.190.001;58577500
8/8/2019;31.530.001;34.270.000;31.480.000;33.919.998;33.919.998;167278800
9/8/2019;33.450.001;35.549.999;33.080.002;34.189.999;34.189.999;132483900
12/8/2019;34.160.000;34.650.002;32.080.002;32.430.000;32.430.000;106737000
13/8/2019;32.360.001;33.139.999;31.719.999;32.110.001;32.110.001;102009700
14/8/2019;31.000.000;31.049.999;29.510.000;30.240.000;30.240.000;127521500
15/8/2019;30.629.999;30.730.000;29.209.999;29.670.000;29.670.000;71674400
16/8/2019;30.309.999;31.480.000;30.209.999;31.180.000;31.180.000;70469800
19/8/2019;32.000.000;32.189.999;31.420.000;31.480.000;31.480.000;67596900
20/8/2019;30.940.001;31.309.999;30.450.001;30.719.999;30.719.999;47924000
21/8/2019;31.049.999;31.740.000;30.840.000;31.700.001;31.700.001;41441500
22/8/2019;31.760.000;31.920.000;30.980.000;31.900.000;31.900.000;47667900
23/8/2019;31.299.999;31.830.000;29.400.000;29.540.001;29.540.001;83681100
26/8/2019;30.340.000;30.719.999;29.940.001;30.280.001;30.280.001;50612500
27/8/2019;30.600.000;30.889.999;29.600.000;30.200.001;30.200.001;53229200
28/8/2019;29.920.000;31.180.000;29.700.001;30.780.001;30.780.001;55835900
29/8/2019;31.469.999;31.830.000;31.330.000;31.450.001;31.450.001;44422800
30/8/2019;31.600.000;31.870.001;31.129.999;31.450.001;31.450.001;40307000
3/9/2019;30.830.000;31.139.999;30.680.000;30.900.000;30.900.000;38029300
4/9/2019;31.320.000;31.830.000;30.850.000;30.950.001;30.950.001;46614600
5/9/2019;31.790.001;32.049.999;31.120.001;31.500.000;31.500.000;57861200
6/9/2019;31.500.000;31.510.000;30.480.000;30.559.999;30.559.999;51673000
9/9/2019;30.930.000;31.180.000;30.240.000;30.500.000;30.500.000;54413200
10/9/2019;30.219.999;30.379.999;29.770.000;30.230.000;30.230.000;48604800
11/9/2019;30.379.999;30.430.000;29.510.000;29.760.000;29.760.000;50631700
12/9/2019;30.080.000;30.840.000;29.950.001;30.209.999;30.209.999;53618300
13/9/2019;30.270.000;30.850.000;29.950.001;30.690.001;30.690.001;47758800
16/9/2019;30.370.001;31.150.000;30.260.000;30.830.000;30.830.000;52248500
17/9/2019;31.070.000;31.320.000;30.740.000;30.990.000;30.990.000;35011700
18/9/2019;30.750.000;30.889.999;29.879.999;30.420.000;30.420.000;47027500
19/9/2019;30.570.000;30.959.999;30.139.999;30.290.001;30.290.001;41603000
20/9/2019;30.360.001;30.469.999;29.650.000;30.049.999;30.049.999;79957400
23/9/2019;30.120.001;30.799.999;30.070.000;30.639.999;30.639.999;44366800
24/9/2019;30.540.001;30.750.000;29.290.001;29.520.000;29.520.000;72963000
25/9/2019;29.480.000;29.650.000;28.549.999;29.540.001;29.540.001;58234800
26/9/2019;29.670.000;29.770.000;29.000.000;29.469.999;29.469.999;40745400
27/9/2019;29.170.000;29.770.000;28.350.000;28.719.999;28.719.999;54091100
30/9/2019;28.889.999;29.049.999;28.360.001;28.990.000;28.990.000;37295600
1/10/2019;29.049.999;29.540.001;28.639.999;28.760.000;28.760.000;37081800
2/10/2019;28.500.000;28.850.000;28.030.001;28.309.999;28.309.999;43640700
